family	number of analyses	relative abundance (mean)	relative abundance (median)	relative abundance (75th percentile)	relative abundance (90th percentile)	relative abundance (min)	relative abundance (max)	4.1.taxonomy.Spearman_rank_correlation.order.only_actual_rank.txt (n)	4.1.taxonomy.Spearman_rank_correlation.order.only_actual_rank.txt (mean)	4.1.taxonomy.Spearman_rank_correlation.order.only_actual_rank.txt (median)	4.1.taxonomy.Spearman_rank_correlation.order.only_actual_rank.txt (75th percentile)	4.1.taxonomy.Spearman_rank_correlation.order.only_actual_rank.txt (90th percentile)	4.1.taxonomy.Spearman_rank_correlation.order.only_actual_rank.txt (min)	4.1.taxonomy.Spearman_rank_correlation.order.only_actual_rank.txt (max)
super kingdom.Bacteria;kingdom.NA.Bacteroidetes;phylum.Bacteroidetes;class.Flavobacteriia;order.Flavobacteriales;family.Flavobacteriaceae	15909	0.03096760552059689	0.006908533637101202	0.033565903230699225	0.08446527379183644	0.00010002250506363932	0.9573542770899051	126540186	0.5219481269840756	0.53142765	0.6420752000000001	0.73320095	0.0	0.94081415
super kingdom.Bacteria;kingdom.NA.Proteobacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhodobacterales;family.Rhodobacteraceae	13610	0.03450965346730991	0.0059991152926098055	0.0390717471055204	0.11400013965486645	0.00010013016921998598	0.715736898237611	92609245	0.4831873917614367	0.49079205	0.58375995	0.66163325	0.0	0.9492181
super kingdom.Bacteria;kingdom.NA.Firmicutes;phylum.Firmicutes;class.Clostridia;order.Clostridiales;family.Ruminococcaceae	13312	0.06978765907587191	0.0030926009969536794	0.0815955647386791	0.2350813490808303	0.00010005085918675327	0.8660963430753414	88598016	0.5186693166584316	0.539799	0.63146775	0.6927679	0.0	0.9269201
super kingdom.Bacteria;kingdom.NA.Firmicutes;phylum.Firmicutes;class.Clostridia;order.Clostridiales;family.Lachnospiraceae	11887	0.05386842598485207	0.007776987871345785	0.08359172046691107	0.16107614013083643	0.0001000161564560429	0.8719426225716463	70644441	0.5023099173866088	0.52334555	0.61385515	0.6759800499999999	0.0	0.9150794
super kingdom.Bacteria;kingdom.NA.Proteobacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Pseudomonadales;family.Pseudomonadaceae	11616	0.015720204215216974	0.0009649599416973495	0.004399471081860526	0.03026438045333063	0.00010002091346372424	0.9655712540333949	67459920	0.5022912710578933	0.50876285	0.60731035	0.69742365	8.110000000000062e-05	0.92736695
super kingdom.Bacteria;kingdom.NA.Proteobacteria;phylum.Proteobacteria;class.Betaproteobacteria;order.Burkholderiales;family.Burkholderiaceae	11598	0.013676076089061287	0.0015025943910663075	0.005440142721203997	0.02587249409089534	0.00010002200484106503	0.6360305026407929	67251003	0.5061148994757467	0.51868525	0.6309956999999999	0.7208681000000001	0.0	0.9455127999999999
super kingdom.Bacteria;kingdom.NA.Proteobacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Pseudomonadales;family.Moraxellaceae	11083	0.01197510444182929	0.0008533632719251989	0.0036906610858259007	0.020201774795974382	0.00010002200484106503	0.8851593031728158	61410903	0.5038586952769385	0.5105475	0.6113102	0.70104495	0.0001387500000000208	0.93646165
super kingdom.Bacteria;kingdom.NA.Proteobacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Sphingomonadales;family.Sphingomonadaceae	10957	0.008954647808540736	0.0017666283897182229	0.008277311844439092	0.019317254046030068	0.00010002750756458026	0.6673775709692534	60022446	0.46909529263240235	0.4779368	0.5676149	0.6387923	0.0002597999999999767	0.94090735
super kingdom.Bacteria;kingdom.NA.Proteobacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhodospirillales;family.Rhodospirillaceae	10080	0.0024331444861607635	0.0011468731652795917	0.002649160390684988	0.005195928558326316	0.00010001200144017281	0.12747731825144337	50798160	0.45675315772749553	0.4688414	0.5604590125	0.62673285	0.00018505000000001992	0.9128221000000001
super kingdom.Bacteria;kingdom.NA.Proteobacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Legionellales;family.Coxiellaceae	9774	0.001807883985311243	0.0009898225917122443	0.0019275529171796193	0.0037083385548981464	0.0001000050002500125	0.26953545404823653	47760651	0.44262864347330017	0.45435045	0.5477525	0.611923	0.0002597999999999767	0.9273861
super kingdom.Bacteria;kingdom.NA.Bacteroidetes;phylum.Bacteroidetes;class.Saprospiria;order.Saprospirales;family.Saprospiraceae	9634	0.011697565488388566	0.0018174470979649246	0.00665648962116945	0.02559859312241685	0.00010001266827131436	0.5573604489262056	46402161	0.42864574283865814	0.43691800000000003	0.5282607500000001	0.59066155	0.0002597999999999767	0.9106435500000001
super kingdom.Bacteria;kingdom.NA.Planctomycetes;phylum.Planctomycetes;class.Planctomycetia;order.Planctomycetales;family.Planctomycetaceae	9605	0.011920548165969486	0.0025049236270568054	0.007580078652697307	0.02617799376279067	0.00010015752046400247	0.5353028278377695	46123210	0.436798288989866	0.4470635	0.5404936	0.6055108	0.0002597999999999767	0.943928
super kingdom.Bacteria;kingdom.NA.Spirochaetes;phylum.Spirochaetes;class.Spirochaetia;order.Spirochaetales;family.Spirochaetaceae	9431	0.010316333136496174	0.0019199671360113075	0.00939559636911506	0.026528738270825563	0.00010006289667791183	0.7282139869240541	44467165	0.5186460578100386	0.54423195	0.64589215	0.71073255	0.0	0.92663365
super kingdom.Bacteria;kingdom.NA.Verrucomicrobia;phylum.Verrucomicrobia;class.Verrucomicrobiae;order.Verrucomicrobiales;family.Verrucomicrobiaceae	9424	0.007191525195792608	0.0013176000010635329	0.004657887320234954	0.015568777657841468	0.0001	0.6644847637507547	44401176	0.44228426147069777	0.4500626	0.5446529	0.6123194	0.0002597999999999767	0.9181471
super kingdom.Bacteria;kingdom.NA.Firmicutes;phylum.Firmicutes;class.Bacilli;order.Bacillales;family.Bacillaceae	9184	0.005663746219451583	0.0006984421774896732	0.00204514338184519	0.008475832044660113	0.00010001000100010001	0.8755901316140033	42168336	0.5112882873099756	0.5289591250000001	0.6296540625	0.7039668	0.0001387500000000208	0.9324192
super kingdom.Bacteria;kingdom.NA.Bacteroidetes;phylum.Bacteroidetes;class.Cytophagia;order.Cytophagales;family.Cytophagaceae	9134	0.0035532183661130404	0.0011036157298128801	0.0035818193037950308	0.008106526484180027	0.00010000333344444814	0.19667911394699633	41710411	0.43968195213638656	0.45045085	0.5430246	0.60461945	0.0002597999999999767	0.9162160500000001
super kingdom.Bacteria;kingdom.NA.Proteobacteria;phylum.Proteobacteria;class.Oligoflexia;order.Bacteriovoracales;family.Bacteriovoracaceae	9083	0.0017010500543828489	0.0006887605753446673	0.0016453748723425764	0.0037801707848749656	0.0001000020000400008	0.277632240939609	41245903	0.42890537565536885	0.4362526	0.52448925	0.5884635	0.0002597999999999767	0.91526975
super kingdom.Bacteria;kingdom.NA.Proteobacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhizobiales;family.Hyphomicrobiaceae	9020	0.0037856801852719523	0.0012671093424684715	0.003565387749386579	0.009516218051203746	0.00010012176098028893	0.5233206218832502	40675690	0.4472390539040945	0.4595518	0.547937	0.612466405	0.0002597999999999767	0.91228815
super kingdom.Bacteria;kingdom.NA.Firmicutes;phylum.Firmicutes;class.Erysipelotrichia;order.Erysipelotrichales;family.Erysipelotrichaceae	8920	0.008093465257629604	0.0024269553492467537	0.007827964903400254	0.019219681211357857	0.00010000764764364334	0.2524218162516035	39778740	0.47401238515503485	0.48904505	0.5789255625	0.648067405	0.0	0.9188965
super kingdom.Bacteria;kingdom.NA.Proteobacteria;phylum.Proteobacteria;class.Betaproteobacteria;order.Nitrosomonadales;family.Nitrosomonadaceae	8838	0.007802048009953762	0.0022284712504423497	0.011445793238904056	0.0222269437730813	0.00010012515644555694	0.30652826565215807	39050703	0.4412435596304948	0.4535219	0.54227725	0.60822	0.0002597999999999767	0.9213640000000001
super kingdom.Bacteria;kingdom.NA.Proteobacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhodobacterales;family.Hyphomonadaceae	8741	0.02077747860406195	0.0009202061943509565	0.0036761901856399775	0.05534020138525115	0.00010004859503187263	0.6475210412744263	38198170	0.43137486314179346	0.43932495	0.5347047375	0.5976532	0.0002597999999999767	0.9276667000000001
