family	number of analyses	relative abundance (max)	score (Spearman rank correlation on order level [only actual rank])
super kingdom.Bacteria;phylum.Bacteroidetes;class.Flavobacteriia;order.Flavobacteriales;family.Flavobacteriaceae	18021	0.9573542770899051	0.516032225471496
super kingdom.Bacteria;phylum.Firmicutes;class.Clostridia;order.Clostridiales;family.Ruminococcaceae	15194	0.8660963430753414	0.510817767213376
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhodobacterales;family.Rhodobacteraceae	14951	0.715736898237611	0.4723452072138062
super kingdom.Bacteria;phylum.Firmicutes;class.Clostridia;order.Clostridiales;family.Lachnospiraceae	13642	0.8719426225716463	0.49506651091396636
super kingdom.Bacteria;phylum.Proteobacteria;class.Betaproteobacteria;order.Burkholderiales;family.Burkholderiaceae	12929	0.6360305026407929	0.4991284524694738
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Pseudomonadales;family.Pseudomonadaceae	12658	0.9655712540333949	0.49443132041082655
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Pseudomonadales;family.Moraxellaceae	12280	0.8851593031728158	0.49649252608729905
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Sphingomonadales;family.Sphingomonadaceae	11991	0.6673775709692534	0.46298937583927374
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhodospirillales;family.Rhodospirillaceae	11305	0.12747731825144337	0.4537056589483098
super kingdom.Bacteria;phylum.Spirochaetes;class.Spirochaetia;order.Spirochaetales;family.Spirochaetaceae	10991	0.7282139869240541	0.5081014546156677
super kingdom.Bacteria;phylum.Firmicutes;class.Bacilli;order.Bacillales;family.Bacillaceae	10875	0.8755901316140033	0.510032641763041
super kingdom.Bacteria;phylum.Bacteroidetes;class.Saprospiria;order.Saprospirales;family.Saprospiraceae	10832	0.5573604489262056	0.42159731339403694
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Legionellales;family.Coxiellaceae	10774	0.26953545404823653	0.43245594093120066
super kingdom.Bacteria;phylum.Planctomycetes;class.Planctomycetia;order.Planctomycetales;family.Planctomycetaceae	10773	0.5353028278377695	0.42856716504165476
super kingdom.Bacteria;phylum.Verrucomicrobia;class.Verrucomicrobiae;order.Verrucomicrobiales;family.Verrucomicrobiaceae	10511	0.6644847637507547	0.43215796143902757
super kingdom.Bacteria;phylum.Firmicutes;class.Erysipelotrichia;order.Erysipelotrichales;family.Erysipelotrichaceae	10339	0.2524218162516035	0.46691847415378673
super kingdom.Bacteria;phylum.Bacteroidetes;class.Cytophagia;order.Cytophagales;family.Cytophagaceae	10279	0.19667911394699633	0.43809715649052355
super kingdom.Bacteria;phylum.Proteobacteria;class.Oligoflexia;order.Bacteriovoracales;family.Bacteriovoracaceae	10142	0.277632240939609	0.41784651795677263
super kingdom.Bacteria;phylum.Firmicutes;class.Clostridia;order.Clostridiales;family.Clostridiaceae	9922	0.3934792465273484	0.49735390853038747
super kingdom.Bacteria;phylum.Firmicutes;class.Clostridia;order.Clostridiales;family.Peptostreptococcaceae	9882	0.34506181478889664	0.47788952783521227
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhizobiales;family.Hyphomicrobiaceae	9805	0.5233206218832502	0.441995883407824
super kingdom.Bacteria;phylum.Proteobacteria;class.Betaproteobacteria;order.Nitrosomonadales;family.Nitrosomonadaceae	9656	0.30652826565215807	0.4362969913185524
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhodobacterales;family.Hyphomonadaceae	9647	0.6475210412744263	0.4208152772602593
super kingdom.Bacteria;phylum.Firmicutes;class.Bacilli;order.Lactobacillales;family.Streptococcaceae	9593	0.9004064253919102	0.45930559050756276
super kingdom.Bacteria;phylum.Actinobacteria;class.Actinobacteria;order.Micrococcales;family.Microbacteriaceae	9514	0.5351270993096748	0.46367604082595837
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Enterobacterales;family.Enterobacteriaceae	9497	0.9702348604390784	0.5068775484943229
super kingdom.Bacteria;phylum.Bacteroidetes;class.Chitinophagia;order.Chitinophagales;family.Chitinophagaceae	9485	0.5568859955049213	0.4573963938170338
super kingdom.Bacteria;phylum.Planctomycetes;class.Phycisphaerae;order.Phycisphaerales;family.Phycisphaeraceae	9378	0.2714800558058639	0.41776910911695636
super kingdom.Bacteria;phylum.Proteobacteria;class.Epsilonproteobacteria;order.Campylobacterales;family.Campylobacteraceae	9151	0.4938603777673444	0.48694664969269447
super kingdom.Bacteria;phylum.Proteobacteria;class.Oligoflexia;order.Oligoflexales;family.Oligoflexaceae	9150	0.15590727309699723	0.41443208311219326
super kingdom.Bacteria;phylum.Bacteroidetes;class.Bacteroidia;order.Bacteroidales;family.Rikenellaceae	8871	0.5110755187069489	0.46908745339748403
super kingdom.Bacteria;phylum.Bacteroidetes;class.Bacteroidia;order.Bacteroidales;family.Prevotellaceae	8855	0.8839560022757443	0.4382779042806216
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Cellvibrionales;family.Halieaceae	8851	0.26411830357142857	0.39009119395812736
super kingdom.Bacteria;phylum.Firmicutes;class.Clostridia;order.Clostridiales;family.Peptococcaceae	8834	0.2949024633347572	0.4958415592403862
super kingdom.Bacteria;phylum.Proteobacteria;class.Betaproteobacteria;order.Burkholderiales;family.Comamonadaceae	8783	0.6722624550204008	0.4733294628980944
super kingdom.Bacteria;phylum.Bacteroidetes;class.Cytophagia;order.Cytophagales;family.Cyclobacteriaceae	8762	0.5744916521809436	0.43477068855770623
super kingdom.Bacteria;phylum.Firmicutes;class.Clostridia;order.Clostridiales;family.Christensenellaceae	8637	0.3120165842101596	0.47651290166453814
super kingdom.Bacteria;phylum.Bacteroidetes;class.Flavobacteriia;order.Flavobacteriales;family.Crocinitomicaceae	8619	0.5351584933015751	0.3997359562399069
super kingdom.Bacteria;phylum.Firmicutes;class.Negativicutes;order.Veillonellales;family.Veillonellaceae	8507	0.7579462102689487	0.4442712957282136
super kingdom.Bacteria;phylum.Actinobacteria;class.Actinobacteria;order.Micrococcales;family.Micrococcaceae	8433	0.9553616779706594	0.47996075037247654
super kingdom.Bacteria;phylum.Chloroflexi;class.Anaerolineae;order.Anaerolineales;family.Anaerolineaceae	8421	0.3484065606795059	0.4550538692775806
super kingdom.Bacteria;phylum.Proteobacteria;class.Oligoflexia;order.Bdellovibrionales;family.Bdellovibrionaceae	8353	0.08067927441142415	0.4248448409008344
super kingdom.Bacteria;phylum.Proteobacteria;class.Deltaproteobacteria;order.Myxococcales;family.Sandaracinaceae	8314	0.2228186968838527	0.4152194414926555
super kingdom.Bacteria;phylum.Bacteroidetes;class.Bacteroidia;order.Bacteroidales;family.Bacteroidaceae	8305	0.74962664367844	0.4525568825610497
super kingdom.Bacteria;phylum.Proteobacteria;class.Deltaproteobacteria;order.Desulfovibrionales;family.Desulfovibrionaceae	8159	0.5948353828916996	0.4764346657166417
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Caulobacterales;family.Caulobacteraceae	8139	0.5386765488201827	0.4449992133196198
super kingdom.Bacteria;phylum.Fusobacteria;class.Fusobacteriia;order.Fusobacteriales;family.Fusobacteriaceae	8066	0.893336467533049	0.4736633855063217
