Strain_id	name	contigs	genome_length	cds	kingdom	phylum	class	order	family	genus	species	genome_status
104099.3	Acetobacter orleanensis strain LMG 1583	67	3007844	3011	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter orleanensis	WGS
104101.6	Acetobacter indonesiensis strain DmL_051	125	3325857	3352	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter indonesiensis	WGS
104102.11	Acetobacter tropicalis strain LMG 19825	222	3557452	3629	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter tropicalis	WGS
1043206.3	Acidiphilium sp. PM	627	3929465	3619	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium sp. PM	WGS
1051974.3	Granulibacter bethesdensis CGDNIH2	1	2736589	2642	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Granulibacter	Granulibacter bethesdensis	Complete
1053551.5	Komagataeibacter sucrofermentans strain LMG 18788	83	3363922	3523	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter sucrofermentans	WGS
1054213.3	Acetobacteraceae bacterium AT-5844	244	5188813	4854	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae		Acetobacteraceae bacterium AT-5844	WGS
1071.7	Rhodopila globiformis strain DSM 161	278	7248147	7936	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Rhodopila	Rhodopila globiformis	WGS
1076594.4	Acetobacter okinawensis strain DsW_060	147	2724937	2851	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter okinawensis	WGS
1076596.5	Acetobacter persici strain DmL_053	174	3353592	3394	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter persici	WGS
108528.5	Gluconacetobacter entanii strain LTH 4560	157	3604084	3844	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconacetobacter	Gluconacetobacter entanii	WGS
1088868.3	Commensalibacter intestini A911	26	2454778	2214	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Commensalibacter	Commensalibacter intestini	WGS
1088869.3	Gluconobacter morbifer G707	19	2887061	2847	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	Gluconobacter morbifer	WGS
1120919.3	Acetobacter nitrogenifigens DSM 23921	52	4270291	4382	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter nitrogenifigens	WGS
1120923.5	Acidocella aminolytica 101 = DSM 11237	109	3964820	4204	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidocella	Acidocella aminolytica	WGS
1121106.3	Belnapia moabensis DSM 16746	290	6716437	6356	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Belnapia	Belnapia moabensis	WGS
